earn : [['acq', 0.9973531096758533], ['ship', 0.00225558091314609], ['earn', 0.0003905318549502895], ['interest', 7.765093970115851e-07], ['sugar', 1.0013289533634495e-09], ['money-supply', 3.261545689462897e-11], ['crude', 1.270880782761253e-11], ['trade', 6.104129972153974e-18], ['money-fx', 2.2647026175101725e-19], ['grain', 1.0596273300140461e-19]]
earn : [['earn', 1.0], ['money-supply', 1.3320179972750727e-19], ['ship', 1.5789828502309446e-23], ['acq', 3.2195159137241304e-24], ['sugar', 7.730617775776892e-25], ['crude', 1.3629387336091045e-25], ['interest', 3.925960502291489e-27], ['grain', 1.498376822705503e-29], ['money-fx', 1.808757599031842e-34], ['trade', 8.673292381295643e-37]]
earn : [['earn', 0.9999999999999527], ['money-supply', 4.728708059934517e-14], ['ship', 2.8928137498389664e-26], ['interest', 1.1167326752157246e-26], ['sugar', 8.638726035281625e-27], ['acq', 3.567472974989658e-29], ['crude', 5.812124952654319e-32], ['money-fx', 6.799867818642119e-36], ['grain', 7.498831905712718e-37], ['trade', 3.3121104573657646e-39]]
earn : [['earn', 1.0], ['money-supply', 5.176024535469808e-19], ['interest', 4.965882078658977e-27], ['sugar', 4.004852839183387e-28], ['acq', 2.0738510745423013e-28], ['ship', 6.791812777462197e-30], ['crude', 1.7422618331807289e-31], ['money-fx', 4.942353577022724e-36], ['grain', 1.279952417662011e-37], ['trade', 1.3476717235747307e-40]]
earn : [['earn', 1.0], ['acq', 1.7095689910709778e-28], ['money-supply', 2.4436344636377673e-29], ['sugar', 6.415905594188143e-30], ['ship', 3.573331249035373e-30], ['interest', 2.262628268287387e-31], ['grain', 2.327342125715447e-34], ['crude', 2.811042211723726e-35], ['money-fx', 4.9141045055668584e-39], ['trade', 9.417469154765327e-43]]
earn : [['earn', 1.0], ['ship', 7.040529738369507e-20], ['acq', 1.8650025706299455e-20], ['sugar', 6.82357389862419e-21], ['money-supply', 6.02672768875562e-21], ['crude', 2.9763085086509856e-21], ['interest', 3.4863025077139858e-22], ['grain', 3.031401291764362e-25], ['trade', 7.916205442998741e-28], ['money-fx', 5.16608941864888e-28]]
earn : [['earn', 1.0], ['acq', 3.2191246281976663e-19], ['ship', 7.131035022625023e-23], ['crude', 5.241575880879713e-24], ['money-supply', 2.524384217738932e-24], ['sugar', 4.420504945380861e-25], ['interest', 3.970875676335455e-25], ['grain', 8.667718638794048e-29], ['money-fx', 2.977394833812556e-32], ['trade', 9.95995037097769e-33]]
earn : [['earn', 1.0], ['acq', 4.1995441433499564e-19], ['money-supply', 5.486094851172951e-22], ['interest', 1.3000220560473896e-22], ['ship', 1.3398464696429047e-24], ['sugar', 2.5056266040666675e-25], ['crude', 7.5225899644906045e-28], ['grain', 1.2524905713454802e-30], ['money-fx', 6.635930871866383e-32], ['trade', 1.2514155386501e-33]]
earn : [['earn', 0.9999999999999944], ['money-supply', 5.5377525892495196e-15], ['interest', 7.1470380953469095e-22], ['acq', 4.848688362729783e-24], ['ship', 4.765630403748695e-27], ['crude', 2.8895731332096145e-27], ['sugar', 2.253957484865491e-29], ['grain', 4.586504061810539e-31], ['money-fx', 2.073946039695482e-31], ['trade', 2.603972512474761e-34]]
earn : [['earn', 1.0], ['money-supply', 2.1542055086676973e-21], ['sugar', 8.974086088647664e-27], ['ship', 9.304144480080813e-28], ['interest', 9.699955737138368e-32], ['crude', 1.8775685615350618e-33], ['grain', 8.18377358980287e-34], ['acq', 3.1653416084339055e-35], ['money-fx', 3.877764784791041e-40], ['trade', 1.342401110780015e-41]]
earn : [['earn', 0.9999999999999996], ['acq', 5.127475869233466e-16], ['ship', 2.1182366219121382e-17], ['money-supply', 1.3836867552599614e-17], ['interest', 6.467007048537874e-19], ['crude', 6.110027732181614e-19], ['sugar', 2.8604402760850734e-20], ['grain', 1.0338654530063109e-24], ['money-fx', 4.503971539081689e-25], ['trade', 1.9843675425687173e-26]]
earn : [['earn', 0.9999999999999991], ['acq', 9.077419127981615e-16], ['crude', 4.787463620661138e-19], ['sugar', 4.0693862273387006e-21], ['ship', 4.883019015018138e-24], ['interest', 6.080958042885551e-26], ['money-supply', 5.8322963727719826e-30], ['grain', 5.626245540208193e-32], ['trade', 3.10858218924999e-35], ['money-fx', 1.1394728557257497e-38]]
earn : [['earn', 1.0], ['money-supply', 6.650699392428283e-18], ['interest', 5.853924600897597e-22], ['acq', 5.977232472159981e-23], ['ship', 4.2573780598897146e-23], ['sugar', 2.7646151001725685e-23], ['crude', 4.029869079308869e-24], ['grain', 2.5986069312116163e-26], ['money-fx', 6.40444477307038e-31], ['trade', 6.79536343987218e-32]]
earn : [['earn', 1.0], ['money-supply', 2.5030264920017454e-27], ['acq', 2.67869373172296e-30], ['sugar', 8.518104465539582e-31], ['ship', 2.5361251579890827e-31], ['interest', 2.3117282673854204e-31], ['crude', 8.98765607114202e-36], ['grain', 2.188243903096906e-37], ['money-fx', 1.5506736939154707e-39], ['trade', 1.339194485307229e-42]]
earn : [['earn', 1.0], ['money-supply', 2.4798083331739758e-20], ['sugar', 7.197181448652105e-26], ['ship', 1.7960456363400418e-26], ['interest', 6.466520152765757e-30], ['crude', 1.2950556797632024e-31], ['grain', 3.72375962744741e-35], ['acq', 1.9601699237706444e-36], ['money-fx', 9.464453911778399e-40], ['trade', 7.369989267366111e-40]]
earn : [['earn', 0.9999999999505527], ['money-supply', 4.944732459556906e-11], ['interest', 1.7397539159551538e-20], ['acq', 3.7995864437764784e-22], ['ship', 5.331834038899131e-25], ['crude', 2.4935349749560223e-25], ['sugar', 9.129908152980706e-27], ['grain', 4.776630730945073e-29], ['money-fx', 4.0698589057701553e-29], ['trade', 8.293847472355129e-32]]
earn : [['earn', 0.9999999999992895], ['ship', 6.254487350115709e-13], ['sugar', 7.934384606914335e-14], ['interest', 4.508391356889077e-15], ['money-supply', 5.855414288834511e-16], ['acq', 5.721203077021508e-16], ['crude', 3.296908704170671e-17], ['grain', 5.476019552806539e-18], ['money-fx', 7.16903824616907e-21], ['trade', 5.248611275032487e-22]]
earn : [['earn', 1.0], ['money-supply', 3.59580108924728e-18], ['acq', 4.003153917388341e-21], ['crude', 1.2105015029941315e-21], ['interest', 6.597345441627437e-22], ['sugar', 3.5613384708913313e-22], ['ship', 3.2271594636517824e-23], ['grain', 4.813164740050371e-26], ['money-fx', 1.2353904742838991e-30], ['trade', 7.087925058221782e-31]]
earn : [['earn', 0.9999999888312926], ['acq', 1.1168707486279117e-08], ['sugar', 3.3092267606841373e-18], ['ship', 1.2448191623074024e-18], ['interest', 5.915978438640092e-19], ['crude', 6.882822691159925e-21], ['money-supply', 1.8343658231662672e-22], ['grain', 3.345279637743234e-28], ['money-fx', 9.00997400579388e-29], ['trade', 3.89798085274233e-32]]
earn : [['earn', 1.0], ['money-supply', 7.878824866832676e-32], ['ship', 2.6910395243310536e-33], ['sugar', 8.846455487308458e-34], ['acq', 3.934908509254785e-35], ['grain', 7.117821906774058e-37], ['interest', 5.054904840382316e-37], ['crude', 9.085254814134448e-39], ['money-fx', 1.9008866497706397e-45], ['trade', 1.2700473013406797e-47]]
earn : [['earn', 0.9999999999998472], ['money-supply', 1.5278473035391592e-13], ['sugar', 1.0945675600328303e-23], ['ship', 3.203337720180285e-24], ['interest', 1.4818351206967755e-25], ['acq', 3.2873387130868015e-31], ['crude', 5.226458764935089e-33], ['grain', 4.2527403072341784e-36], ['trade', 4.7175787170944645e-40], ['money-fx', 6.115148584183365e-41]]
earn : [['earn', 1.0], ['money-supply', 2.40702747713451e-28], ['acq', 3.071816938379774e-35], ['ship', 5.7828987761959856e-36], ['sugar', 2.0064479628460153e-37], ['interest', 1.6333691009662843e-39], ['crude', 8.156106590367652e-40], ['grain', 2.9522970197457637e-41], ['trade', 1.4114162680569411e-46], ['money-fx', 1.2522661367120219e-46]]
earn : [['earn', 1.0], ['money-supply', 1.7154756057505481e-25], ['acq', 1.0602607908476767e-26], ['crude', 7.937127145856808e-30], ['ship', 2.3439394743555425e-30], ['sugar', 1.0596865868991158e-30], ['interest', 3.5562319385664405e-31], ['grain', 7.252340296395066e-34], ['money-fx', 2.569728073529123e-38], ['trade', 2.9772127355275213e-40]]
earn : [['earn', 1.0], ['money-supply', 1.702922028831351e-19], ['ship', 1.420105165642636e-21], ['acq', 2.7862691552688935e-22], ['sugar', 4.58707797772601e-23], ['crude', 3.9688100864823414e-23], ['interest', 6.215994034689601e-25], ['grain', 6.038359031182891e-26], ['money-fx', 1.093237716051965e-31], ['trade', 1.537585544256362e-32]]
earn : [['earn', 1.0], ['money-supply', 3.805781403351111e-23], ['ship', 4.775428650805681e-27], ['sugar', 4.161263681129983e-29], ['acq', 1.2307652993480644e-31], ['crude', 2.2829862616743365e-32], ['grain', 5.648140877796118e-33], ['interest', 4.87199577635385e-33], ['money-fx', 3.527581398279905e-42], ['trade', 5.2828581725951017e-45]]
earn : [['earn', 1.0], ['money-supply', 8.760241889603264e-17], ['ship', 7.866021734231863e-25], ['sugar', 2.1140672529309196e-26], ['interest', 1.444364593526727e-26], ['acq', 3.127508291759667e-31], ['crude', 2.0393430092252625e-31], ['grain', 8.576843589454464e-34], ['money-fx', 8.265342654364373e-38], ['trade', 4.7846839252613195e-39]]
earn : [['earn', 1.0], ['money-supply', 2.870629764442155e-18], ['interest', 1.204086308762823e-25], ['ship', 4.710629587405661e-26], ['acq', 1.3771006450453502e-26], ['sugar', 7.519610840230596e-27], ['crude', 5.09859046796688e-30], ['grain', 3.506930918586517e-31], ['money-fx', 9.399838827766608e-36], ['trade', 1.1267184657041936e-38]]
earn : [['earn', 1.0], ['money-supply', 9.558873168349211e-35], ['sugar', 8.860743431582736e-47], ['crude', 1.0055169658239016e-47], ['interest', 8.634560870258112e-48], ['ship', 8.028946961756966e-50], ['acq', 1.0547152567777147e-55], ['grain', 6.633070776461711e-56], ['money-fx', 7.756105558049153e-62], ['trade', 2.6619463223266252e-62]]
earn : [['earn', 1.0], ['money-supply', 2.9789784108639954e-25], ['ship', 3.544317829334549e-29], ['sugar', 7.935081952241294e-31], ['interest', 1.1735699890587298e-31], ['acq', 1.7542116271312278e-32], ['crude', 6.733496132141767e-33], ['grain', 1.2263063899624664e-36], ['trade', 5.110056767263658e-42], ['money-fx', 2.4788048799596446e-42]]
earn : [['earn', 1.0], ['money-supply', 2.7624419193682067e-17], ['ship', 1.0996549857562461e-20], ['sugar', 8.567240540697922e-22], ['interest', 9.98696352962564e-27], ['crude', 5.063343358063009e-29], ['acq', 9.011744468086764e-34], ['grain', 3.1452523155178582e-37], ['money-fx', 3.1625752261348575e-38], ['trade', 1.631659609738933e-38]]
earn : [['earn', 1.0], ['money-supply', 2.193131786545317e-29], ['sugar', 2.5368627557580286e-31], ['ship', 9.522947651147736e-32], ['acq', 4.739212594082461e-33], ['interest', 7.060441467568259e-34], ['crude', 3.923731875239683e-34], ['grain', 2.1988818641625103e-36], ['money-fx', 1.1837265988707e-41], ['trade', 2.1924476260062505e-44]]
earn : [['earn', 1.0], ['money-supply', 2.979849454855196e-19], ['acq', 1.258761398308495e-21], ['ship', 1.008844260884983e-21], ['sugar', 6.589584600785374e-23], ['crude', 1.577366814030713e-24], ['interest', 9.710530020717417e-27], ['grain', 2.2689141587428055e-27], ['money-fx', 3.2194370773133577e-31], ['trade', 6.931971685757739e-35]]
earn : [['earn', 0.99999999999999], ['money-supply', 9.938644823167178e-15], ['ship', 1.4713224659158203e-20], ['sugar', 1.4670329442734733e-22], ['interest', 8.249597965918278e-24], ['acq', 1.0349624067799174e-28], ['crude', 1.8353808688285116e-29], ['grain', 1.3988427094953113e-32], ['money-fx', 5.257529893624478e-35], ['trade', 1.2989340168995431e-36]]
earn : [['earn', 1.0], ['money-supply', 2.268546038544712e-28], ['sugar', 6.507265372796789e-38], ['ship', 2.723346604749737e-41], ['interest', 2.151435136153307e-42], ['crude', 1.1550311268357142e-45], ['grain', 7.51830623132089e-47], ['acq', 9.283071595155942e-48], ['money-fx', 3.157858917036442e-54], ['trade', 1.4986828580828138e-55]]
earn : [['earn', 1.0], ['money-supply', 4.14052790772804e-23], ['acq', 7.199673182665027e-29], ['sugar', 6.821682329869699e-29], ['interest', 4.5696534688982955e-30], ['ship', 5.725624205922916e-31], ['crude', 3.5406214755018484e-32], ['grain', 1.9390834226958472e-33], ['money-fx', 1.0245259923749578e-39], ['trade', 1.2499011401864841e-40]]
earn : [['earn', 1.0], ['money-supply', 8.48156133519261e-17], ['ship', 2.7313895662082912e-18], ['acq', 2.49672550342947e-19], ['sugar', 1.6645141394641725e-20], ['crude', 4.7106706127792335e-21], ['interest', 1.2864607818750761e-21], ['grain', 3.083764105157504e-23], ['money-fx', 4.023935900398718e-28], ['trade', 3.274376021780696e-29]]
earn : [['earn', 1.0], ['money-supply', 2.591036457491192e-22], ['interest', 1.8602670612551675e-29], ['ship', 1.6714440106242306e-30], ['sugar', 6.2362416707790785e-31], ['acq', 5.801399081251874e-31], ['crude', 2.3061247808165312e-32], ['grain', 6.372605805472149e-36], ['money-fx', 1.1346947505343112e-38], ['trade', 2.9431096702908425e-40]]
earn : [['earn', 1.0], ['money-supply', 1.9018274892981108e-20], ['sugar', 5.689541040297684e-22], ['ship', 3.517142544285926e-22], ['acq', 6.753155292316625e-23], ['crude', 2.4605461966203522e-23], ['interest', 1.3849237395434901e-24], ['grain', 2.960342906424855e-26], ['money-fx', 4.069123666157137e-30], ['trade', 1.9403995967043103e-32]]
earn : [['earn', 1.0], ['money-supply', 9.65500335017914e-26], ['sugar', 1.0563861792163186e-37], ['interest', 3.275480733846464e-38], ['ship', 1.1031059341522521e-38], ['acq', 5.723259644703086e-43], ['crude', 1.3907203895242645e-43], ['grain', 1.2183349213051892e-44], ['trade', 1.6417826024812311e-52], ['money-fx', 6.30065605979458e-53]]
earn : [['earn', 1.0], ['money-supply', 1.9419298502552526e-25], ['acq', 3.413416892848127e-28], ['sugar', 1.6313243649360182e-28], ['ship', 5.869567824513867e-30], ['interest', 1.1548596942704337e-30], ['crude', 6.155862511695778e-32], ['grain', 6.406706038944871e-36], ['trade', 5.08449367147799e-40], ['money-fx', 2.298182737656623e-40]]
earn : [['earn', 1.0], ['money-supply', 5.907264621635099e-25], ['acq', 4.3134645265800536e-30], ['sugar', 2.8214621141589476e-30], ['ship', 4.998125401932012e-31], ['interest', 9.770301222870594e-32], ['crude', 5.217336577654838e-34], ['grain', 1.0023541446081776e-35], ['money-fx', 1.443258230504591e-40], ['trade', 7.904943649210462e-42]]
earn : [['earn', 0.9999999999999971], ['money-supply', 1.966902735517819e-15], ['crude', 9.609234085929976e-16], ['sugar', 9.84271231824027e-17], ['interest', 6.610175425044481e-17], ['acq', 6.105574040874122e-17], ['ship', 5.2313091738525496e-17], ['grain', 1.4961553912081622e-22], ['trade', 2.1998770421873542e-26], ['money-fx', 2.851098662959225e-27]]
earn : [['earn', 1.0], ['money-supply', 2.164675643777567e-21], ['ship', 1.5404219473077865e-29], ['sugar', 1.154694460546529e-29], ['acq', 1.0815595581693082e-30], ['interest', 9.46972663380972e-31], ['crude', 1.265232943661906e-32], ['grain', 1.8560441824203195e-34], ['money-fx', 5.428131862520029e-40], ['trade', 3.706902726341915e-42]]
earn : [['acq', 0.9741980404096716], ['earn', 0.02571655933226587], ['ship', 8.537281464452818e-05], ['money-supply', 2.5231361069763796e-08], ['sugar', 1.2081071932507666e-09], ['interest', 9.776199584767812e-10], ['crude', 2.6329726590604196e-11], ['grain', 1.2268160623075652e-20], ['trade', 8.683947986669882e-21], ['money-fx', 7.41062477227462e-22]]
earn : [['earn', 0.9999999999999996], ['ship', 5.00484928421395e-16], ['interest', 1.9969098426722687e-17], ['sugar', 7.247801339155835e-18], ['money-supply', 2.534043612367064e-18], ['acq', 1.423301908382661e-19], ['crude', 6.591416833454487e-20], ['grain', 5.822602050778287e-21], ['money-fx', 5.662454540872901e-24], ['trade', 6.354338089816817e-27]]
earn : [['earn', 1.0], ['ship', 8.488526810625824e-18], ['money-supply', 3.4405566387425542e-18], ['interest', 3.9906855375401267e-19], ['sugar', 1.8795714862562228e-19], ['acq', 5.3815304698990305e-20], ['crude', 1.3848097426131902e-20], ['grain', 4.2590593765643835e-22], ['money-fx', 4.591117328329962e-25], ['trade', 2.805025271262563e-26]]
earn : [['earn', 0.9999999999999996], ['ship', 2.6979178129821894e-16], ['money-supply', 1.1300945828792355e-16], ['acq', 3.9006467937034324e-18], ['sugar', 8.346536894997803e-19], ['interest', 1.0944879395559311e-19], ['crude', 1.0908531746432626e-19], ['grain', 2.0598769097905265e-21], ['money-fx', 1.1722891388729236e-25], ['trade', 2.99046664645411e-26]]
earn : [['earn', 1.0], ['acq', 2.751514887687866e-18], ['money-supply', 2.103225037887453e-18], ['ship', 2.0165535030028542e-18], ['sugar', 2.604395512609034e-20], ['crude', 4.618581805506314e-21], ['interest', 3.52726308491964e-21], ['grain', 3.087790715405546e-23], ['money-fx', 2.1693630733672213e-25], ['trade', 1.3227549716695866e-26]]
earn : [['earn', 1.0], ['money-supply', 8.37487839585487e-17], ['ship', 3.5167482970751214e-17], ['crude', 4.515610503009084e-18], ['sugar', 2.811658253103854e-19], ['acq', 2.6332855807353867e-19], ['interest', 2.4829025519249236e-19], ['grain', 8.45048071394119e-21], ['money-fx', 2.6707860860920397e-25], ['trade', 1.15201800940054e-26]]
earn : [['earn', 0.9999999999999984], ['crude', 1.6431172677587725e-15], ['ship', 2.812303752439709e-17], ['acq', 7.187270743170865e-18], ['sugar', 4.546289069839729e-18], ['money-supply', 5.660480369504894e-19], ['interest', 1.943165939498197e-19], ['grain', 1.1462194071118576e-22], ['money-fx', 2.781786699365663e-24], ['trade', 4.483352240334789e-25]]
earn : [['earn', 1.0], ['money-supply', 3.700769595506738e-33], ['interest', 2.3235010852373478e-42], ['sugar', 1.0821333450309655e-43], ['crude', 9.726512516659228e-46], ['ship', 1.1210775424013391e-46], ['grain', 1.101252821015816e-50], ['acq', 1.4540118586059083e-51], ['trade', 1.4039288052053364e-55], ['money-fx', 6.222707963026893e-57]]
earn : [['earn', 1.0], ['ship', 5.001764597667132e-18], ['acq', 4.720065946695201e-19], ['money-supply', 5.280650711287777e-20], ['interest', 2.9781550677721616e-22], ['sugar', 1.0050428816396077e-23], ['crude', 7.910506214767581e-24], ['grain', 1.3023301528443016e-27], ['money-fx', 1.1342620072347938e-30], ['trade', 1.0909772062471281e-30]]
earn : [['earn', 1.0], ['money-supply', 2.2286415404515693e-29], ['sugar', 9.61483405707034e-34], ['interest', 2.2500528791152478e-35], ['crude', 2.0873483500135619e-35], ['ship', 1.5427967345878794e-35], ['acq', 2.785594145531629e-38], ['grain', 1.562162837919006e-39], ['money-fx', 5.987162170117292e-48], ['trade', 5.570545178590505e-49]]
earn : [['earn', 1.0], ['money-supply', 1.0326972952897674e-21], ['interest', 7.500780527043752e-32], ['ship', 6.940245750532916e-34], ['sugar', 7.948856838327112e-35], ['crude', 2.2564897988410098e-35], ['grain', 1.329871930856018e-37], ['acq', 2.469597306734739e-38], ['trade', 2.5882923168004433e-43], ['money-fx', 2.595255639833385e-44]]
earn : [['earn', 1.0], ['acq', 6.1767486459783714e-18], ['ship', 4.317888993744339e-20], ['money-supply', 5.390015354315398e-21], ['sugar', 3.113948887673343e-21], ['interest', 2.971009043573356e-22], ['crude', 3.799137437842157e-23], ['grain', 5.2787292551625995e-25], ['money-fx', 5.325929230468174e-28], ['trade', 7.72576817102916e-30]]
earn : [['earn', 0.9779758518295396], ['crude', 0.022024148155741823], ['ship', 1.4524641744066147e-11], ['money-supply', 1.8937741111058466e-13], ['acq', 4.239546663142773e-15], ['interest', 2.3092720231374254e-16], ['sugar', 3.3803810184386247e-17], ['grain', 1.4980567255219348e-20], ['trade', 5.000190141662736e-24], ['money-fx', 1.2634701152496883e-25]]
earn : [['earn', 1.0], ['money-supply', 1.244268871324195e-25], ['acq', 5.612804643754038e-32], ['crude', 2.140103670966812e-32], ['interest', 6.945410938142429e-34], ['ship', 9.274611783757851e-35], ['sugar', 1.2747946091980612e-35], ['grain', 6.270221332317915e-38], ['trade', 5.60271815363292e-43], ['money-fx', 9.496625174093112e-44]]
earn : [['earn', 1.0], ['money-supply', 1.0919316593387058e-32], ['sugar', 1.301279597326876e-45], ['interest', 8.466039701610137e-47], ['ship', 6.54507176406257e-49], ['crude', 1.4288995789696064e-50], ['acq', 1.5055168463696781e-56], ['grain', 4.212346817044432e-58], ['trade', 9.99501224133747e-63], ['money-fx', 4.022822866106334e-63]]
earn : [['earn', 1.0], ['money-supply', 1.2858801974459124e-27], ['sugar', 4.6243786871038883e-32], ['ship', 3.705849684772392e-33], ['interest', 2.2203587480288505e-34], ['acq', 1.2764136318038003e-34], ['grain', 4.527350913578881e-35], ['crude', 7.0680775481120125e-37], ['money-fx', 1.858673293366777e-43], ['trade', 1.8428518646296363e-46]]
earn : [['money-supply', 0.8021178523249662], ['earn', 0.19787405548201084], ['interest', 8.091797856431694e-06], ['crude', 3.950627461422882e-10], ['acq', 7.278639630908457e-14], ['grain', 2.3886587365116958e-14], ['sugar', 7.374982657094173e-15], ['ship', 5.5108484935335376e-17], ['trade', 3.450060879502473e-17], ['money-fx', 1.2465737827060022e-17]]
earn : [['earn', 0.999999999999998], ['acq', 1.2964133328326931e-15], ['money-supply', 7.184260437532738e-16], ['interest', 1.8519200497020072e-18], ['crude', 2.405298032587393e-19], ['grain', 1.1636720804657252e-21], ['sugar', 1.034902098264124e-21], ['ship', 2.5283186776809953e-22], ['trade', 2.338095028230589e-25], ['money-fx', 9.089617361041751e-27]]
earn : [['earn', 1.0], ['money-supply', 5.4116898364119576e-30], ['ship', 3.299516527454692e-33], ['sugar', 2.5294290533781236e-33], ['interest', 3.81658252414564e-35], ['acq', 2.937067474740466e-35], ['crude', 1.767836420490686e-38], ['grain', 8.04628650591832e-40], ['money-fx', 1.4216339502717267e-44], ['trade', 6.02427880330728e-47]]
earn : [['earn', 1.0], ['money-supply', 1.2070314512184904e-22], ['ship', 3.419790532259985e-24], ['sugar', 2.6931552719715436e-25], ['interest', 3.971255069523082e-29], ['crude', 4.3537432838185244e-30], ['acq', 1.8719882953982982e-30], ['grain', 1.5810617000319796e-33], ['trade', 9.028097146226432e-39], ['money-fx', 4.3518146020489e-39]]
earn : [['earn', 1.0], ['money-supply', 2.8064639410442886e-20], ['sugar', 5.213630503447773e-22], ['ship', 2.591509696695391e-22], ['interest', 3.120279214552211e-25], ['acq', 2.6344649439765137e-26], ['crude', 7.176499820721232e-27], ['grain', 2.4033460119834766e-29], ['money-fx', 7.772546617477705e-32], ['trade', 2.3554454554205225e-32]]
earn : [['earn', 1.0], ['money-supply', 9.670040657361572e-22], ['interest', 5.121967229370237e-33], ['ship', 1.7704154126210664e-36], ['sugar', 5.413182218908863e-37], ['acq', 1.4978088215401682e-38], ['crude', 4.240745500854219e-40], ['grain', 3.801343969631067e-41], ['money-fx', 1.1628441421296e-47], ['trade', 3.1579792668865602e-52]]
earn : [['earn', 1.0], ['money-supply', 1.245154125785829e-25], ['ship', 1.2289817904099987e-30], ['sugar', 4.3808589612655624e-33], ['crude', 3.330486537781051e-34], ['acq', 3.2405617336697075e-34], ['interest', 2.386347159191499e-38], ['grain', 2.318989167206948e-38], ['trade', 4.986904033828123e-46], ['money-fx', 1.1981953169688772e-46]]
earn : [['earn', 1.0], ['crude', 8.876516550822533e-18], ['acq', 3.6904027655753165e-18], ['money-supply', 1.1746405089642055e-18], ['ship', 1.5500296754803043e-19], ['sugar', 3.953854842952986e-20], ['interest', 4.3254232773916916e-23], ['grain', 3.1951392874953266e-23], ['money-fx', 9.11345179297174e-28], ['trade', 4.827029531155062e-28]]
earn : [['earn', 1.0], ['money-supply', 2.1216808430738027e-17], ['ship', 1.9128892593317144e-18], ['sugar', 7.310941436537732e-19], ['acq', 2.4201203308418403e-19], ['interest', 5.9090249335831966e-21], ['crude', 1.9456639003789192e-21], ['grain', 6.349298703952878e-25], ['trade', 2.0117423693516328e-29], ['money-fx', 5.5031069034182425e-31]]
earn : [['earn', 1.0], ['money-supply', 1.720080389309255e-26], ['interest', 1.2328022651758292e-32], ['crude', 6.799041291799413e-35], ['acq', 6.48437690054406e-35], ['sugar', 5.252833946602664e-35], ['ship', 1.172217797748638e-36], ['grain', 3.2616773716107234e-41], ['money-fx', 2.9286081886038826e-44], ['trade', 2.0748182489698117e-45]]
earn : [['earn', 1.0], ['money-supply', 1.5314065706988873e-21], ['sugar', 9.61800775407621e-30], ['ship', 8.467749739277064e-31], ['interest', 4.607194541270805e-32], ['crude', 8.487779250260786e-34], ['grain', 6.577051705442142e-36], ['acq', 7.996321505916968e-37], ['money-fx', 1.313021762585141e-41], ['trade', 5.746754790182669e-44]]
earn : [['earn', 1.0], ['money-supply', 4.854447961959914e-24], ['interest', 1.2907264309221908e-38], ['sugar', 1.6931805722088478e-48], ['ship', 3.862613517432767e-49], ['crude', 6.142479011746405e-50], ['acq', 5.778827527653122e-52], ['grain', 1.1191150530737564e-53], ['money-fx', 3.0331502381304274e-58], ['trade', 1.3121824540111295e-65]]
earn : [['earn', 1.0], ['money-supply', 3.8095570804674665e-25], ['ship', 6.501832051405651e-31], ['sugar', 3.1138392917518386e-31], ['crude', 1.263648676741819e-34], ['acq', 3.408574461905139e-36], ['interest', 3.311627089411195e-36], ['grain', 7.617616313800521e-39], ['money-fx', 4.821767012142331e-44], ['trade', 1.5591429042210676e-45]]
earn : [['earn', 1.0], ['money-supply', 1.3344572663369591e-31], ['ship', 2.3280696273572573e-33], ['acq', 7.90499932972495e-34], ['sugar', 3.3438423847366806e-35], ['crude', 2.5274273352288357e-36], ['interest', 4.182402295079015e-37], ['grain', 4.066314258477085e-41], ['money-fx', 9.330198960112223e-49], ['trade', 3.5203809850464397e-51]]
earn : [['earn', 0.9999999999999951], ['money-supply', 4.969215056406189e-15], ['ship', 2.7428616998534656e-20], ['sugar', 5.8409434079406286e-21], ['crude', 3.0555753193703475e-22], ['acq', 1.946825881616899e-22], ['interest', 6.920636275444271e-23], ['grain', 2.6624200315741116e-26], ['trade', 2.2429938025343657e-28], ['money-fx', 1.0558352379831578e-28]]
earn : [['earn', 1.0], ['money-supply', 1.3244992002579995e-19], ['sugar', 6.227883284238164e-21], ['acq', 2.6265245567163074e-22], ['ship', 1.3870338952371246e-22], ['interest', 4.8813757569099215e-25], ['grain', 1.7638485576680566e-26], ['crude', 1.7574111197721932e-26], ['money-fx', 8.066161797105267e-33], ['trade', 1.1012076097531562e-34]]
earn : [['earn', 1.0], ['money-supply', 8.4480328918302e-25], ['sugar', 1.296898687491371e-30], ['ship', 8.735599908015981e-32], ['interest', 3.990956560801601e-33], ['crude', 6.0003317433762586e-36], ['grain', 1.7454792939959982e-36], ['acq', 1.104195365079941e-38], ['money-fx', 1.4497382790539701e-41], ['trade', 9.117777193280414e-48]]
earn : [['earn', 1.0], ['crude', 2.1079203662009916e-18], ['ship', 3.263725900723362e-19], ['sugar', 5.026015137825475e-22], ['acq', 8.217060371352519e-23], ['money-supply', 7.193552716594946e-23], ['interest', 2.563073362937806e-23], ['grain', 1.83572671224907e-27], ['money-fx', 3.863520557227353e-30], ['trade', 1.1692215069289746e-30]]
earn : [['earn', 1.0], ['sugar', 3.047039583910276e-23], ['acq', 7.267878352854355e-24], ['money-supply', 2.392619122346075e-24], ['ship', 3.2957458148948244e-25], ['crude', 5.433760536355958e-26], ['interest', 4.247499535832721e-26], ['grain', 2.366629115694663e-28], ['money-fx', 2.483141424948463e-34], ['trade', 3.561410432556551e-35]]
